Statement,Suspiciousness
org.mockito.internal.MockitoCore#138,0.0
org.mockito.internal.MockitoCore#139,0.0
org.mockito.internal.MockitoCore#140,0.0
org.mockito.internal.MockitoCore#141,0.0
org.mockito.internal.MockitoCore#144,0.0
org.mockito.internal.MockitoCore#148,0.0
org.mockito.internal.MockitoCore#149,0.0
org.mockito.internal.MockitoCore#150,0.0
org.mockito.internal.MockitoCore#154,0.0
org.mockito.internal.MockitoCore#155,0.0
org.mockito.internal.MockitoCore#156,0.0
org.mockito.internal.MockitoCore#160,0.0
org.mockito.internal.MockitoCore#161,0.0
org.mockito.internal.MockitoCore#168,0.055048188256318034
org.mockito.internal.MockitoCore#169,0.055048188256318034
org.mockito.internal.MockitoCore#170,0.055048188256318034
org.mockito.internal.MockitoCore#174,0.0
org.mockito.internal.MockitoCore#175,0.0
org.mockito.internal.MockitoCore#176,0.0
org.mockito.internal.MockitoCore#177,0.0
org.mockito.internal.MockitoCore#178,0.0
org.mockito.internal.MockitoCore#179,0.0
org.mockito.internal.MockitoCore#181,0.0
org.mockito.internal.MockitoCore#183,0.0
org.mockito.internal.MockitoCore#187,0.0
org.mockito.internal.progress.HandyReturnValues#13,0.1551760354888916
org.mockito.internal.progress.HandyReturnValues#16,0.03546634510659543
org.mockito.internal.progress.HandyReturnValues#20,0.0
org.mockito.internal.progress.HandyReturnValues#24,0.21653278478430668
org.mockito.internal.progress.HandyReturnValues#28,0.0
org.mockito.internal.progress.HandyReturnValues#32,0.07302967433402215
org.mockito.internal.progress.HandyReturnValues#37,0.1398994833565338
org.mockito.internal.progress.HandyReturnValues#38,0.06454972243679027
org.mockito.internal.progress.HandyReturnValues#40,0.15145648913255064
org.mockito.internal.progress.HandyReturnValues#44,0.0
org.mockito.internal.progress.HandyReturnValues#48,0.0
org.mockito.internal.progress.HandyReturnValues#52,0.0
org.mockito.internal.progress.HandyReturnValues#56,0.048795003647426664
org.mockito.mock.SerializableMode#9,0.0
org.mockito.mock.SerializableMode#8,0.0
org.mockito.mock.SerializableMode#8,0
org.mockito.Answers#76,0.0
org.mockito.Answers#77,0.0
org.mockito.Answers#78,0.0
org.mockito.Answers#26,0.0
org.mockito.Answers#26,0
org.mockito.Answers#86,0
org.mockito.Answers#90,0.11406468642034678
org.mockito.BDDMockito$ThenImpl#238,0.0
org.mockito.BDDMockito$ThenImpl#239,0.0
org.mockito.BDDMockito$ThenImpl#240,0.0
org.mockito.BDDMockito$ThenImpl#247,0.0
org.mockito.BDDMockito$ThenImpl#255,0.0
org.mockito.BDDMockito#67,0
org.mockito.BDDMockito#191,0.0
org.mockito.BDDMockito#209,0.0
org.mockito.BDDMockito#374,0.0
org.mockito.BDDMockito#382,0.0
org.mockito.BDDMockito#390,0.0
org.mockito.BDDMockito#398,0.0
org.mockito.BDDMockito#406,0.0
org.mockito.BDDMockito#414,0.0
org.mockito.BDDMockito$BDDStubberImpl#315,0.0
org.mockito.BDDMockito$BDDStubberImpl#316,0.0
org.mockito.BDDMockito$BDDStubberImpl#317,0.0
org.mockito.BDDMockito$BDDStubberImpl#323,0.0
org.mockito.BDDMockito$BDDStubberImpl#330,0
org.mockito.BDDMockito$BDDStubberImpl#337,0
org.mockito.BDDMockito$BDDStubberImpl#344,0
org.mockito.BDDMockito$BDDStubberImpl#351,0.0
org.mockito.BDDMockito$BDDStubberImpl#358,0.0
org.mockito.BDDMockito$BDDStubberImpl#365,0.0
org.mockito.runners.MockitoJUnitRunner#56,0.0
org.mockito.runners.MockitoJUnitRunner#57,0.0
org.mockito.runners.MockitoJUnitRunner#58,0.0
org.mockito.runners.MockitoJUnitRunner#62,0.0
org.mockito.runners.MockitoJUnitRunner#63,0.0
org.mockito.runners.MockitoJUnitRunner#67,0.0
org.mockito.runners.MockitoJUnitRunner#72,0.0
org.mockito.runners.MockitoJUnitRunner#73,0.0
org.mockito.runners.MockitoJUnit44Runner#54,0.0
org.mockito.runners.MockitoJUnit44Runner#55,0.0
org.mockito.AdditionalMatchers#42,0
org.mockito.AdditionalMatchers#56,0.0
org.mockito.AdditionalMatchers#69,0.0
org.mockito.AdditionalMatchers#82,0.0
org.mockito.AdditionalMatchers#95,0.0
org.mockito.AdditionalMatchers#108,0.0
org.mockito.AdditionalMatchers#121,0.0
org.mockito.AdditionalMatchers#134,0.0
org.mockito.AdditionalMatchers#147,0.0
org.mockito.AdditionalMatchers#160,0.0
org.mockito.AdditionalMatchers#173,0.0
org.mockito.AdditionalMatchers#186,0.0
org.mockito.AdditionalMatchers#199,0.0
org.mockito.AdditionalMatchers#212,0.0
org.mockito.AdditionalMatchers#225,0.0
org.mockito.AdditionalMatchers#238,0.0
org.mockito.AdditionalMatchers#251,0.0
org.mockito.AdditionalMatchers#264,0.0
org.mockito.AdditionalMatchers#277,0.0
org.mockito.AdditionalMatchers#290,0.0
org.mockito.AdditionalMatchers#303,0.0
org.mockito.AdditionalMatchers#316,0.0
org.mockito.AdditionalMatchers#329,0.0
org.mockito.AdditionalMatchers#342,0.0
org.mockito.AdditionalMatchers#355,0.0
org.mockito.AdditionalMatchers#368,0.0
org.mockito.AdditionalMatchers#381,0.0
org.mockito.AdditionalMatchers#394,0.0
org.mockito.AdditionalMatchers#407,0.0
org.mockito.AdditionalMatchers#421,0.0
org.mockito.AdditionalMatchers#433,0.0
org.mockito.AdditionalMatchers#449,0.0
org.mockito.AdditionalMatchers#463,0.0
org.mockito.AdditionalMatchers#477,0.0
org.mockito.AdditionalMatchers#491,0.0
org.mockito.AdditionalMatchers#505,0.0
org.mockito.AdditionalMatchers#519,0.0
org.mockito.AdditionalMatchers#533,0.0
org.mockito.AdditionalMatchers#547,0.0
org.mockito.AdditionalMatchers#561,0.0
org.mockito.AdditionalMatchers#576,0.0
org.mockito.AdditionalMatchers#591,0.0
org.mockito.AdditionalMatchers#606,0.0
org.mockito.AdditionalMatchers#621,0.0
org.mockito.AdditionalMatchers#636,0.0
org.mockito.AdditionalMatchers#651,0.0
org.mockito.AdditionalMatchers#666,0.0
org.mockito.AdditionalMatchers#681,0.0
org.mockito.AdditionalMatchers#698,0.0
org.mockito.AdditionalMatchers#713,0.0
org.mockito.AdditionalMatchers#730,0.0
org.mockito.AdditionalMatchers#745,0.0
org.mockito.AdditionalMatchers#760,0.0
org.mockito.AdditionalMatchers#775,0.0
org.mockito.AdditionalMatchers#790,0.0
org.mockito.AdditionalMatchers#805,0.0
org.mockito.AdditionalMatchers#820,0.0
org.mockito.AdditionalMatchers#835,0.0
org.mockito.AdditionalMatchers#850,0.0
org.mockito.AdditionalMatchers#863,0.0
