Math_88,7.254749298095703,425
Chart_19,10.69039249420166,377
Lang_63,11.380374670028687,3972
Closure_38,94.28856205940247,4
Math_35,6.852806568145752,16
Math_52,10.928601264953613,4
Closure_4,69.61175632476807,74
Chart_9,6.656487226486206,228
Closure_70,53.36610555648804,97
Time_7,13.52547574043274,91
Time_17,16.61523413658142,324
Closure_86,41.57461619377136,1
Lang_7,5.910395622253418,149
Closure_21,123.22070121765137,5573
Time_2,16.196245908737183,580
Closure_59,109.28344225883484,109
Closure_13,33.57602524757385,51
Math_28,7.798596620559692,850
Math_22,7.382640361785889,6
Time_26,16.595170497894287,125
Lang_39,11.986133575439453,44
Time_19,18.095015048980713,220
Math_59,70.87333369255066,89
Math_4,7.297929286956787,59
Lang_47,5.818220376968384,72
Closure_10,73.86549401283264,384
Math_96,6.643555164337158,632
Closure_2,145.18527722358704,79
Lang_6,4.824763536453247,2
Closure_73,79.97145533561707,191
Lang_33,5.243208646774292,11
Math_85,6.684947967529297,668
Closure_92,9.710398197174072,16
Math_56,7.102396488189697,149
Chart_14,12.706973791122437,530
Chart_12,8.155090570449829,58
Closure_22,121.45152950286865,8485
Math_70,6.459177494049072,804
Math_75,6.53721809387207,22
Lang_58,5.621974468231201,424
Math_77,8.565492630004883,667
Closure_40,25.223982334136963,49
Math_50,9.057340145111084,1300
Chart_1,9.931684017181396,1
Closure_126,24.236177444458008,387
Chart_8,5.005710124969482,1
Math_82,6.7212769985198975,304
Chart_20,8.820278882980347,902
Time_18,17.600327491760254,84937
Closure_109,46.71035647392273,75
Math_30,6.3403379917144775,1
Closure_11,72.69119906425476,1
Lang_26,5.940689563751221,53
Math_62,7.189598321914673,412
Closure_63,1.8586812019348145,412
Math_3,36.99028205871582,2
Closure_102,9.937719821929932,28
Lang_13,6.2850542068481445,10
Closure_25,48.09020686149597,803
Math_32,7.066692590713501,18
Closure_93,1.8504917621612549,18
Closure_115,28.62010669708252,991
Lang_24,5.490936279296875,74
Mockito_26,30.391529321670532,28
Math_33,7.547964334487915,221
Closure_46,16.49323558807373,1
Math_80,7.471814870834351,46
Chart_11,9.939680337905884,1
Math_57,6.4510204792022705,1
Lang_18,6.711978197097778,692
Closure_62,107.56392502784729,71
Lang_10,9.048088312149048,187
Math_65,6.997357130050659,209
Mockito_38,11.771692037582397,106
Closure_31,119.0342915058136,347
Chart_13,8.36558222770691,173
Math_34,6.688473463058472,1
Math_94,9.91069769859314,220
Lang_57,5.038438320159912,109
Chart_26,10.48902416229248,37
Math_89,6.602233171463013,59
Math_58,6.783422231674194,10
Math_15,49.37729215621948,3380
Math_11,9.787503480911255,2
Lang_27,5.794180154800415,128
Lang_22,4.514243125915527,1
Mockito_29,18.00939655303955,41
Math_5,10.374208688735962,2
Chart_7,6.148478031158447,115
Math_98,7.031247138977051,7
Chart_4,11.151968479156494,120
Math_63,24.495229482650757,104
Lang_51,4.986475467681885,5
Math_73,15.265994787216187,75643
Chart_24,5.487303972244263,25
Math_8,7.587540626525879,80
Closure_18,121.76982522010803,355
Closure_125,143.51067066192627,11
Math_79,12.569447755813599,1
Lang_59,5.630934953689575,299
Lang_21,5.598537921905518,182
